Rikshem | Mariehem Mariehemsvägen 35 G | 3 rum | 85 m² | 10 872 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2571-1040)
Rikshem | Mariehem Mariehemsvägen 37 A | 3 rum | 87 m² | 11 067 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2571-1130)
Rikshem | Mariehem Mariehemsvägen 37 A | 3 rum | 87 m² | 11 067 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2571-1142)
Rikshem | Mariehem Mariehemsvägen 37 A | 3 rum | 87 m² | 11 306 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2571-1118)
Rikshem | Mariehem Morkullevägen 16 F | 2 rum | 68 m² | 10 522 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4816-161501)
Rikshem | Mariehem Morkullevägen 20 A | 1 rum | 31 m² | 5 835 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4816-20011604)
Rikshem | Sandbacka Sandbackavägen 22 M | 2 rum | 44 m² | 6 253 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2576-0003)
Rikshem | Sandbacka Sandbackavägen 36 | 1 rum | 28 m² | 6 743 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4808-3601001)
Rikshem | Väst på stan Nygatan 4 A | 2 rum | 70 m² | 10 098 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4851-11009)
Rikshem | Öst på stan Storgatan 72 | 3 rum | 87 m² | 13 790 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2580-1013)
