Sveafastigheter | Bryggargatan 31 | 17 m² | 4640 kr / mån (Länk: https://minasidor.sveafastigheter.se/ledigt/detalj/id/312144001-31-1002)
Sveafastigheter | Korpralsvägen 38 | 103.5 m² | 11047 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/korpralsvagen-38)
Sveafastigheter | Korpralsvägen 42 C | 40.5 m² | 7131 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/korpralsvagen-42-c)
Sveafastigheter | Korpralsvägen 44 D | 28 m² | 5147 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/korpralsvagen-44-d)
Sveafastigheter | Korsgatan 3 B | 24 m² | 4991 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/korsgatan-3-b)
Sveafastigheter | Mjölkvägen 32 | 83 m² | 9380 kr / mån (Länk: https://minasidor.sveafastigheter.se/ledigt/detalj/id/28701-32-1102)
Sveafastigheter | Mjölkvägen 38 | 73.6 m² | 10089 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/mjolkvagen-38)
Sveafastigheter | Moritzvägen 11 | 18 m² | 5505 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/moritzvagen-11)
Sveafastigheter | Norra Ersmarksgatan 39 | 32 m² | 4897 kr / mån (Länk: https://sveafastigheter.se/lediga-lagenheter/norra-ersmarksgatan-39)
Sveafastigheter | Tvistevägen 43 | 25 m² | 6096 kr / mån (Länk: https://minasidor.sveafastigheter.se/ledigt/detalj/id/88219901-43-1011)
