Rikshem | Mariehem Mariehemsvägen 35 A | 3 rum | 87 m² | 11 317 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2571-1160)
Rikshem | Mariehem Mariehemsvägen 35 C | 5 rum | 120 m² | 14 164 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2571-1012)
Rikshem | Mariehem Mariehemsvägen 37 A | 3 rum | 87 m² | 11 067 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2571-1136)
Rikshem | Mariehem Mariehemsvägen 43 A | 1 rum | 32 m² | 6 647 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4839-4300102)
Rikshem | Mariehem Morkullevägen 16 H | 3 rum | 86 m² | 12 090 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4816-161721)
Rikshem | Sandbacka Sandbackavägen 22 N | 2 rum | 43 m² | 6 183 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2576-0014)
Rikshem | Sandbacka Sandbackavägen 34 B | 2 rum | 63 m² | 10 587 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4818-1105)
Rikshem | Sandbacka Sandbackavägen 38 | 2 rum | 37 m² | 7 566 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/4808-3861606)
Rikshem | Tomtebo Vittervägen 226 | 3 rum | 58 m² | 7 841 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2591-0411)
Rikshem | Täfteå Mastvägen 6 D | 3 rum | 76 m² | 7 727 kr/mån (Länk: https://minasidor.rikshem.se/ledigt/detalj/id/2590-1016)
